,bd_rate
4x4-1-8x8-2,0.13479599100909567
4x4-3-8x8-SAD,0.12542920228280074
4x4-3,-0.06467021325056166
4x4-1-8x8-SAD,0.042735291039086576
8x8-3,0.05805003122121288
8x8-1,0.04617976709042626
4x4-1-8x8-1,0.13479599100909567
8x8-SAD,0.08640146820888539
4x4-1-8x8-3,0.13479599100909567
8x8-2,0.03644397291791002
4x4-1-8x8-2,0.7895695402373448
4x4-3-8x8-SAD,0.3903942394171578
4x4-3,0.45606331908976117
4x4-1-8x8-SAD,0.03372602517015544
8x8-3,1.0251855165231971
8x8-1,0.28106119759927495
4x4-1-8x8-1,0.7895695402373448
8x8-SAD,0.4161906249114944
4x4-1-8x8-3,0.7895695402373448
8x8-2,0.32700926526136875
