,bd_rate
4x4-1-8x8-1,0.18722121072021203
4x4-1-8x8-2,0.18722121072021203
4x4-1-8x8-3,0.18722121072021203
4x4-1-8x8-SAD,0.19630074249223917
4x4-3-8x8-SAD,0.25162745562667954
4x4-3,0.0942088316980838
8x8-1,0.06706745252957891
8x8-2,0.0946585753933693
8x8-3,0.13356109197717458
8x8-SAD,0.16104808154908667
4x4-1-8x8-1,1.1116267366571897
4x4-1-8x8-2,1.1116267366571897
4x4-1-8x8-3,1.1116267366571897
4x4-1-8x8-SAD,0.44352064653248036
4x4-3-8x8-SAD,0.3089578841726004
4x4-3,0.3212973932513741
8x8-1,0.059920703829430266
8x8-2,0.2808305362961505
8x8-3,0.35136671372721917
8x8-SAD,0.6741868351708868
